X.usr.local.lib.R.library.aCGH.data.sprocCR40.txt	X.usr.local.lib.R.library.aCGH.data.sprocCR43.txt
2	-0.077698	0.007389
3	0.001834	-0.01455
4	0.007465	-0.03727
6	0.025567	-0.036908
8	0.061068	0.017278
9	-0.010831	-0.058398
10	0.035897	-0.021299
11	-0.022212	-0.005092
13	0.008778	-0.069357
14	-0.08913	-0.074885
15	-0.058736	0.003134
16	-0.075914	-0.015009
18	0.090095	0.028827
20	-0.027867	-0.075319
21	-0.116518	-0.165832
22	-0.011624	-0.107238
23	0.028006	-0.033147
25	0.056658	-0.120601
27	-0.001608	0.000558
28	-0.076855	-0.045451
29	-0.11397	-0.066334
32	-0.053738	-0.045822
34	-0.030491	-0.064907
35	-0.044656	0.001651
36	-0.039305	-0.021266
37	-0.072964	-0.009868
38	0.023669	-0.046889
39	-0.012063	-0.026111
40	0.066386	-0.039492
43	0.110301	-0.019812
44	0.012335	-0.085368
45	0.05523	0.009174
46	0.098947	0.012446
47	0.155193	0.016212
48	0.080751	-0.040205
49	0.051779	0.013529
50	-0.02595	0.010022
51	0.089211	-0.008772
52	-0.068334	-0.08589
56	-0.027847	-0.029353
59	-0.071305	-0.092455
62	-0.19602	-0.08718
63	0.076649	-0.021409
64	0.030822	0.008679
65	0.109219	0.0011
66	0.141472	0.049319
67	0.025744	0.000665
68	0.019462	-0.052277
69	-0.018205	-0.06683
70	0.051706	0.070645
71	-0.003237	-0.095546
72	0.000539	0.117487
73	0.173699	0.117693
74	0.123614	0.050705
75	0.04914	0.067998
76	-0.001359	0.0904
78	0.053745	0.001099
79	0.060683	0.038011
80	0.172189	0.09646
81	-0.018492	0.02071
82	0.089099	0.055388
83	0.184659	0.115279
84	-0.121907	-0.039577
85	0.019081	0.011118
86	0.11959	0.06892
87	0.011913	-0.020518
88	0.175107	0.098896
89	-0.032344	-0.056504
90	0.078093	0.061955
91	-0.086194	0.04493
92	0.001605	0.005477
93	-0.001499	0.03546
94	0.073371	-0.016042
95	0.106995	0.07391
96	0.135359	0.112976
97	-0.034881	0.019067
98	0.044952	0.070729
99	-0.010538	0.039601
100	0.05338	0.013452
102	-0.016317	0.080021
103	0.054295	0.060288
104	-0.114341	-0.028698
105	-0.059599	0.079851
106	0.134566	0.085608
107	0.223949	0.111793
108	0.041657	0.076166
109	0.079343	0.048933
110	0.133918	0.082029
111	0.083859	0.05329
